m/z,Formula,ID,IsotopeLabel,Ion form,Compound
173.0567854,C6H10N2O4,62,C12 PARENT,[M-H]-,N-Acetylasparagine
174.0601402,C6H10N2O4,62,C13-label-1,[M-H]-,N-Acetylasparagine
175.0634951,C6H10N2O4,62,C13-label-2,[M-H]-,N-Acetylasparagine
176.0668499,C6H10N2O4,62,C13-label-3,[M-H]-,N-Acetylasparagine
177.0702047,C6H10N2O4,62,C13-label-4,[M-H]-,N-Acetylasparagine
178.0735596,C6H10N2O4,62,C13-label-5,[M-H]-,N-Acetylasparagine
179.0769144,C6H10N2O4,62,C13-label-6,[M-H]-,N-Acetylasparagine
174.0408024,C6H9NO5,63,C12 PARENT,[M-H]-,N-Acetyl-aspartate
175.0441572,C6H9NO5,63,C13-label-1,[M-H]-,N-Acetyl-aspartate
176.0475121,C6H9NO5,63,C13-label-2,[M-H]-,N-Acetyl-aspartate
177.0508669,C6H9NO5,63,C13-label-3,[M-H]-,N-Acetyl-aspartate
178.0542217,C6H9NO5,63,C13-label-4,[M-H]-,N-Acetyl-aspartate
179.0575766,C6H9NO5,63,C13-label-5,[M-H]-,N-Acetyl-aspartate
180.0609314,C6H9NO5,63,C13-label-6,[M-H]-,N-Acetyl-aspartate
174.0884184,C6H13N3O3,64,C12 PARENT,[M-H]-,Citrulline
175.0917732,C6H13N3O3,64,C13-label-1,[M-H]-,Citrulline
176.0951281,C6H13N3O3,64,C13-label-2,[M-H]-,Citrulline
177.0984829,C6H13N3O3,64,C13-label-3,[M-H]-,Citrulline
178.1018377,C6H13N3O3,64,C13-label-4,[M-H]-,Citrulline
179.1051926,C6H13N3O3,64,C13-label-5,[M-H]-,Citrulline
180.1085474,C6H13N3O3,64,C13-label-6,[M-H]-,Citrulline
179.0561194,C6H12O6,65,C12 PARENT,[M-H]-,Glucose_isomer
180.0594742,C6H12O6,65,C13-label-1,[M-H]-,Glucose_isomer
181.0628291,C6H12O6,65,C13-label-2,[M-H]-,Glucose_isomer
182.0661839,C6H12O6,65,C13-label-3,[M-H]-,Glucose_isomer
